Question,Tag
Zero has two representations in Sign magnitude 2 s complement 1 s complement None of the above ,Number Representation
Your are given the following four bytes  10100011  00110111  11101001  10101011 Which of the following are substrings of the base 64 encoding of the above four bytes zdp fpq qwA oze ,Network Security
You are given three coins one has heads on both faces the second has tails on both faces and the third has a head on one face and a tail on the other You choose a coin at random and toss it and it comes up heads The probability that the other face is tails is dfrac 1 4  dfrac 1 3  dfrac 1 2  dfrac 2 3  ,Bayes Theorem
You are given the postorder traversal P  of a binary search tree on the n elements 1 2 dots  n You have to determine the unique binary search tree that has P as its postorder traversal What is the time complexity of the most efficient algorithm for doing this Theta log n Theta n Theta n log n None of the above as the tree cannot be uniquely determined ,Binary Search Tree
You are given a free running clock with a duty cycle of 50 and a digital  waveform f which changes only at the negative edge of the clock Which one of  the following circuits using clocked D flip flops will delay the phase of f by  180 u00b0 ,Phase Shift
Write a constant time algorithm to insert a node with data D just before the node with address p of a singly linked list ,Linked Lists
Write a concurrent program using ext parbegin parend and semaphores to represent the precedence constraints of the statements S_1 to S_6 as shown in figure below ,Process Synchronization
Without any additional circuitry an 8 1 MUX can be used to obtain a Some but not all Boolean functions of 3 variables b All function of 3 variables but none of 4 variables c All functions of 3 variables and some but not all of 4 variables d All functions of 4 variables,Combinational
With regards to the expressive power of the formal relational query languages which of the following statements is true Relational algebra is more powerful than relational calculus Relational algebra has the same power as relational calculus Relational algebra has the same power as safe relational calculus None of the above ,Relational Calculus
While opening a TCP connection the initial sequence number is to be derived using a time of day ToD clock that keeps running even when the host is down The low order 32 bits of the counter of the ToD clock is to be used for the initial sequence numbers The clock counter increments once per milliseconds The maximum packet lifetime is given to be 64 s Which one of the choices given below is closest to the minimum permissible rate at which sequence numbers used for packets of a connection can increase  0 015 s 0 064 s 0 135 s 0 327 s  ,Tcp
Which the following is FALSE Complement of a recursive language is recursive A language recognized by a non deterministic Turing machine can also be recognized by a deterministic  Turing machine Complement of a context free language can be recognized by a Turing machine If a language and its complement are both recursively enumerable then it is recursive Complement of a non recursive language can never be recognized by any Turing machine ,Closure Property
Which scheduling policy is most suitable for a time shared operating system Shortest Job First Round Robin First Come First Serve Elevator ,Process Schedule
Which one of these first order logic formulae is valid forall x left P left x right implies Q left x right right implies left u2200xP left x right implies forall xQ left x right right exists x left P left x right vee Q left x right right implies left exists xP left x right implies exists xQ left x right right exists x left P left x right wedge  Q left x right right iff left exists xP left x right wedge exists xQ left x right right forall x exists y P left x y right implies exists y forall x P left x y right ,First Order Logic
Which one of the following statements is TRUE about every n imes n matrix with only real eigenvalues If the trace of the matrix is positive and the determinant of the matrix is negative at least one of its eigenvalues is negative If the trace of the matrix is positive all its eigenvalues are positive If the determinant of the matrix is positive all its eigenvalues are positive If the product of the trace and determinant of the matrix is positive all its eigenvalues are positive ,Eigen Value
Which one of the following statements is FALSE There exist context free languages such that all the context free grammars generating them are ambiguous An unambiguous context free grammar always has a unique parse tree for each string of the language generated by it Both deterministic and non deterministic pushdown automata always accept the same set of languages A finite set of string from some alphabet is always a regular language ,Non Determinism
Which one of the following statements is FALSE TCP guarantees a minimum communication rate TCP ensures in order delivery TCP reacts to congestion by reducing sender window size TCP employs retransmission to compensate for packet loss ,Tcp
